query_name|query_sql|query_description
Archive_AAA||
Archive_AAA_Type||
Archive_ABSENT_RATE||
Archive_APG_EPG||
Archive_CMT_reclamations||
Archive_DevPlan||
Archive_EXL_TARGET_AAA||
Archive_FORMS_AbscenceInjustif||
Archive_FORMS_Disciplinaire||
Archive_FORMS_HeadC_In_Out||
Archive_FORMS_MADPerson||
Archive_FORMS_PID||
Archive_FORMS_PosteVacant||
Archive_FORMS_PRP||
Archive_FORMS_Reaccueil||
Archive_FORMS_SituatDang||
Archive_FORMS_TF1_TF2||
Archive_FORMS_TxTempo||
Archive_FORMS_TxTempo_by_UO||
Archive_FORMS_VMS||
Archive_H2O||
Archive_PASS||
Archive_Phenix_ANO_OOS||
Archive_Phenix_CAPA-OP||
Archive_Phenix_CC||
Archive_PHX_CAPA_HSE||
Archive_PHX_HSE||
Archive_PKM||
Archive_PSI||
Archive_Return_Interview||
Archive_TF1_TF2||
Archive_TW_ANO_OOS||
Archive_TW_CAPA-OP||
Archive_TW_Investigations||
Archive_VMS||
CorrecANO_OOS||
CorrecCAPA||
Data_CMT_reclamations||
Data_EXL_TARGET_AAA||
Data_FORMS_AbscenceInjustif||
Data_FORMS_Disciplinaire||
Data_FORMS_HeadC_In_Out||
Data_FORMS_MADPerson||
Data_FORMS_PID||
Data_FORMS_PosteVacant||
Data_FORMS_PRP||
Data_FORMS_Reaccueil||
Data_FORMS_SituatDang||
Data_FORMS_TF1_TF2||
Data_FORMS_TxTempo||
Data_FORMS_TxTempo_by_UO||
Data_FORMS_VMS||
Data_Phenix_ANO_OOS||
Data_Phenix_CAPA-OP||
Data_Phenix_CC||
Data_PHX_CAPA_HSE||
Data_PHX_HSE||
Data_TW_ANO_OOS||
Data_TW_CAPA-OP||
Data_TW_Investigations||
Interop_CMT_reclamations||
Interop_EXL_TARGET_AAA||
Interop_FORMS_AbscenceInjustif||
Interop_FORMS_Disciplinaire||
Interop_FORMS_HeadC_In_Out||
Interop_FORMS_MADPerson||
Interop_FORMS_PID||
Interop_FORMS_PosteVacant||
Interop_FORMS_PRP||
Interop_FORMS_Reaccueil||
Interop_FORMS_SituatDang||
Interop_FORMS_TF1_TF2||
Interop_FORMS_TxTempo||
Interop_FORMS_TxTempo_by_UO||
Interop_FORMS_VMS||
Interop_PHX_ANO_OOS||
Interop_PHX_CAPA_HSE||
Interop_PHX_CAPA-OP||
Interop_PHX_CC||
Interop_PHX_HSE||
Interop_TW_ANO_OOS||
Interop_TW_CAPA-OP||
Interop_TW_Investigations||
Legacy_AAA||
Legacy_AAA_Type||
Legacy_ABSENT_RATE||
Legacy_APG_EPG||
Legacy_Correction_Phenix_ANO_OOS||
Legacy_DevPlan||
Legacy_H2O||
Legacy_PASS||
Legacy_PKM||
Legacy_PSI||
Legacy_Return_Interview||
Legacy_TF1_TF2||
Legacy_VMS||
MSysAccessStorage||
MSysAccessXML||
MSysACEs||
MSysComplexColumns||
MSysIMEXColumns||
MSysIMEXSpecs||
MSysNameMap||
MSysNavPaneGroupCategories||
MSysNavPaneGroups||
MSysNavPaneGroupToObjects||
MSysNavPaneObjectIDs||
MSysObjects||
MSysQueries||
MSysRelationships||
MSysResources||
MyQueryDefs||
RES_AAA_KPI_003||
RES_AAA_KPI_005||
RES_AAA_KPI_005_old||
RES_AAA_KPI_006||
RES_ABSENT_RATE_KPI_082||
RES_ANO_CRITICAL_KPI_020||
RES_ANO_KPI_019||
RES_ANO_KPI_020_MEDIAN||
RES_ANO_KPI_020_SAMPLE||
RES_ANO_KPI_021||
RES_ANO_KPI_022||
RES_ANO_KPI_023||
RES_ANO_KPI_024||
RES_ANO_KPI_025||
RES_ANO_KPI_026||
RES_ANO_KPI_104||
RES_ANO_KPI_105||
RES_ANO_KPI_106||
RES_APG_EPG_KPI_002||
RES_AUTOINSPECT_KPI_040||
RES_AUTOINSPECT_KPI_043||
RES_AUTOINSPECT_KPI_047||
RES_AUTOINSPECT_KPI_109||
RES_CAPA_HSE_KPI_111||
RES_CAPA_HSE_KPI_112||
RES_CAPA_KPI_027||
RES_CAPA_KPI_028||
RES_CAPA_KPI_031||
RES_CAPA_KPI_034||
RES_CAPA_KPI_103||
RES_CAPA_KPI_107||
RES_CC_KPI_029||
RES_CC_KPI_030||
RES_CC_KPI_032||
RES_CC_KPI_033||
RES_CC_KPI_035||
RES_CC_KPI_108||
RES_CLAIM_KPI_041||
RES_CLAIM_KPI_042||
RES_CLAIM_KPI_044_SANOFI||
RES_CLAIM_KPI_044_STT||
RES_CLAIM_KPI_045||
RES_DEVPLAN_KPI_093||
RES_DISCIPLINARY_KPI_085||
RES_GQA_KPI_040||
RES_GQA_KPI_043||
RES_GQA_KPI_047||
RES_GQA_KPI_109||
RES_H2O_KPI_008||
RES_HeadC_In_Out_KPI_090||
RES_MADPerson_KPI_091||
RES_NOTJUSTIFIED_KPI_086||
RES_OOS_KPI_019||
RES_OOS_KPI_020_MEDIAN||
RES_OOS_KPI_020_SAMPLE||
RES_OOS_KPI_021||
RES_OOS_KPI_022||
RES_OOS_KPI_023||
RES_OOS_KPI_024||
RES_OOS_KPI_025||
RES_OOS_KPI_026||
RES_OOS_KPI_104||
RES_OOS_KPI_105||
RES_OOS_KPI_106||
RES_PASS_KPI_015||
RES_PASS_KPI_110||
RES_PID_KPI_093||
RES_PKM_KPI_102||
RES_PosteVacant_KPI_092||
RES_PRP_KPI_094||
RES_PSI_KPI_004||
RES_RETURN_INTERVIEW_KPI_084||
RES_SITUATDANG_KPI_113||
RES_SITUATDANG_KPI_114||
RES_TF1_TF2_KPI_001||
RES_TxTemporaryMLE_KPI_083||
RES_TxTemporaryUO_KPI_083||
RES_TxTemporaryUO_KPI_089||
RES_VMS_KPI_012||
RES_VMS_KPI_013||
TAB_APU_4_OldData||
TAB_GroupUO||
TAB_ListOfAPU||
TAB_ListOfCostCenter||
TAB_ListOfUO||
TAB_TypeUO||
TabCorrespondanceAccidentTypo||
TabCorrespondanceContrat||
TabCorrespondanceCriticality||
TabMonth||
TabTranche_Criticality||
TabTranche_KPI018_043||
TabTranche_KPI022_025||
TabTranche_KPI023_026||
TabTranche_KPI031_033_034||
TabTranche_KPI032||
TabTranche_KPI045||
TabTranche_KPI082||
TabTranche_KPI103||
TabTypologyCausePhenix||
TabUO_PLUS||
TabUO_Q||
Tech_Exe_CurrentParam||
Tech_Exe_FollowUP||
Tech_Interop_FollowUp||
